domain,company,stratum,country,vertical,industry_raw,employees,n_article_urls,posts_probed,posts_en,posts_informational,posts_usable,languages,est_usable_total,sample_titles
flow.space,Flowspace,yc,USA,ecommerce,B2B,48.0,198,5,5,5,5,en,198,Social Commerce vs. Ecommerce: A Simplified Guide - Flowspac | Physical Distribution: What Is It And Why Is It Important | Is Omnichannel More Fulfilling than Prime Day for Ecommerce 
papa.com,Papa,yc,USA,ecommerce,Healthcare,500.0,197,5,5,5,5,en,197,Best Jobs for College Students in Tampa | Papa | 4 Factors That Lead to Improved Member Experience That May S | Activities for Seniors in Tampa and St. Petersburg | Papa
legionfarm.com,Legionfarm,yc,USA,ecommerce,Consumer,7.0,189,5,5,2,2,en,76,You wanna be on top? Best Apex streamers reveal their secret | The Grand Review of Apex Legends’ Ranked Arenas | Meet SOKOLOV_GAMING - LegionFarm PRO in Warzone
octopart.com,Octopart,yc,USA,other,Industrials,11.0,180,5,5,4,4,en,144,How to Drive a Servo Motor and the Components You Need | What to Know About Surface Mount Ferrite Inductors for EMI S | How to Select a High Speed Backplane Connector
giveffect.com,Giveffect,yc,USA,saas,B2B,,172,5,5,3,3,en,103,How Giveffect’s Email Marketing System Makes Your NPO Strong | 18NTC: Day One Recap | Unravel the Puzzle: Getting the Most Out of Volunteers [Free
gocheetah.com,Cheetah,yc,USA,ecommerce,B2B,2.0,170,5,5,4,4,en,136,Cheetah | How to Start a Restaurant and Differentiate From O | 3 Tricks to Boost Your Restaurant's Online Presence | 6 Delicious Meal Ideas for All That Leftover Food | Cheetah 
suiteness.com,Suiteness,yc,USA,ecommerce,Consumer,7.0,169,5,5,3,3,en,101,Haunted Hotels to Explore this Halloween | Get Ready For A New Las Vegas Gaming Venue - Suiteness Blog | Holiday Travel Can Be Better & Stress-Free With These Hacks
onesignal.com,OneSignal,yc,USA,devtools,B2B,150.0,168,5,5,3,3,en,101,Customer Engagement Interview Learnings | Fight Coronavirus w/ Alerts That Work | How to Protect Customer Satisfaction Amidst 2021 Holiday Shi
replit.com,Replit,yc,USA,devtools,B2B,65.0,165,5,5,3,3,en,99,Common Errors Python Beginners Encounter (with Solutions) | Internet access for all | Popular Beginner JavaScript Concepts
moltin.com,Moltin,yc,USA,fintech,B2B,32.0,164,5,5,2,2,en,66,Experience xCommerce solutions for retailers to reinvent com | Onboarding with Moltin | 3 Unconventional Black Friday Campaigns and Why They Worked
posthog.com,PostHog,yc,USA,devtools,B2B,150.0,162,5,5,2,2,en,65,The 3 critical reasons companies choose self-hosted analytic | PostHog | Using Gatsby and Puppeteer to create dynamic Open Graph imag
sqreen.com,Sqreen,yc,USA,saas,B2B,120.0,160,5,5,3,3,en,96,Monitoring the performance of a Node.js web application - Sq | Top 5 security topics to consider when releasing your first  | Picking the best JS engine for your Node app’s performance -
sfox.com,SFOX,yc,USA,fintech,Fintech,60.0,159,5,5,3,3,en,95,"Sickness, Halvings, and DeFi: The SFOX Crypto Market Report, | New Correlation Data Reveal BTC — and ETH — Dominance - SFOX | Price, Regulatory, and Product Growth: The SFOX Crypto Marke"
vidyard.com,Vidyard,yc,USA,saas,B2B,201.0,153,5,5,3,2,en,61,9 Examples of Video for Demand Generation - Vidyard | Are you leveraging Vidyard's Slick Real-Time Analytics? - Vi | 4 Tips for Creating A Killer Video Voicemail
angel.co,SlidePay,yc,USA,fintech,Fintech,2.0,146,4,4,4,4,en,146,How Remote Work Impacts Employees With Disabilities | Startup Growth and Venture Returns: What We Found When We An | How To Hire World-Class Engineers
authy.com,Authy,yc,USA,saas,B2B,201.0,143,5,5,3,3,en,86,Authy Desktop now available in Beta for Linux - Authy | Two-Factor Authentication News • Authy | Two-Factor Authentication News • Authy
singlestore.com,SingleStore,yc,USA,devtools,B2B,150.0,137,5,5,3,3,en,82,AWS Translate and SingleStore | A Moment (or Two) to Celebrate as SingleStore Makes a Big An | Join SingleStore at the Data Science Summit in San Francisco
instrumentl.com,Instrumentl,yc,USA,saas,B2B,60.0,136,5,5,4,4,en,109,Partnership Pays! 5 Ways Partnering Builds More Grants Succe | What is a Proposal Narrative? Grant Writing 101 | What is the Difference Between a 501c6 and 501c3?
custora.com,Custora,yc,USA,ecommerce,B2B,11.0,136,5,5,4,4,en,109,"What Google's Inbox Means for Email Marketing Teams | Escape the Discount Downward Spiral, Part 3: Full-Price Grow | Escape the Discount Downward Spiral, Part 1: Solving for Exc"
signoz.io,SigNoz,yc,USA,devtools,B2B,38.0,131,5,5,3,3,en,79,"Docker Stats | Understand how to monitor Docker Metrics with | AWS X-Ray vs Jaeger - key features, differences and alternat | Top 11 MYSQL monitoring tools in 2022 [open-source included]"
goteleport.com,Teleport,yc,USA,devtools,B2B,255.0,127,5,5,4,4,en,102,How to Connect IoT Devices to Teleport | Teleport | Access Control Podcast: Episode 9 | Access Control Podcast: Episode 2
postscript.io,Postscript,yc,USA,ecommerce,B2B,180.0,123,5,5,2,2,en,49,How to Find and Maximize the Best SMS Pricing for your Brand | We’ve Raised $65M in Series C Funding—Here’s What’s Next for | Become a Postscript Certified Partner Today!
vendoo.co,Vendoo,yc,USA,ecommerce,Consumer,55.0,119,5,5,4,4,en,95,Upcoming Reseller Events: Virtual and Live Events You Can't  | 5 Things You Didn’t Know You Could Do With Vendoo (Part 1) | 5 Tips for Being Sustainable as a Reseller
magicbell.com,MagicBell,yc,USA,devtools,B2B,4.0,118,5,5,4,4,en,94,How to Use Firebase to Send Push Notifications | 5 Examples of Highly Effective Browser Notifications | How to Set Up Android Push Notifications
lendup.com,LendUp,yc,USA,fintech,Fintech,201.0,110,5,5,2,2,en,44,"LendUp Launches in Mississippi | Tyra Fennell on Art, Community and Economic Activation | Journey to obtain a payday loan"
gigster.com,Gigster,yc,USA,saas,B2B,51.0,108,5,5,3,3,en,65,Is AutoML Worth It? The Risks of Deploying Machine Learning  | What the GameStop Wallet Means for Mass Crypto Adoption and  | Lessons from Innovating in a Large Organization
betterhalf.ai,Betterhalf,yc,USA,ecommerce,Consumer,25.0,105,5,5,4,4,en,84,Ready to finally meet your quarantine online lover after loc | A Fool’s Guide to Avg Antivirus Review Explained | Share your love story - Betterhalf.ai
queenly.com,Queenly,yc,USA,ecommerce,Consumer,13.0,101,5,5,3,3,en,61,15 Must-Have Summer Styles: Formalwear Edition | 2022 VMA Nominations and Fashion Predictions | How To Dress for a Girls Night Out
fanhero.com,FanHero,yc,USA,ecommerce,Consumer,1.0,99,5,5,5,5,en,99,Don’t Let Third Parties Beat You To The Play | Turn Your YouTube Channel into A Video On Demand Platform | Streaming Services are Growing to Meet Global Need During th
hatchways.io,Hatchways,yc,USA,saas,B2B,8.0,97,5,5,3,3,en,58,Pursuing Creativity - From Magazine Editor to Software Engin | The Pros and Cons of Blind Hiring | Apprenticeships Part 2 - Critiques and the Future of Coding 
dailybot.com,Dailybot,yc,USA,devtools,B2B,11.0,96,5,5,4,2,en,38,Sprint Check-In Template | Don’t build a Slack bot from scratch when you can use a no-c | How to give kudos to your remote teams and create a kudos cu
powerx.co,PowerX,yc,USA,other,Industrials,20.0,93,5,5,4,4,en,74,"Noticing Your Electricity Bills Are Higher Than Usual? You’r | 5 Top Tips to Save Energy This Fall | Senior Manager, Customer Experience"
scuba.io,Scuba,yc,USA,saas,B2B,51.0,92,5,5,5,5,en,92,Why All Your Data Should Be Raw | 7 Ways to Actually Improve Customer Effort Score | How to Enhance Your Business Intelligence Insights and Proce
humaans.io,Humaans,yc,USA,saas,B2B,48.0,90,5,5,3,3,en,54,How HR tech can help your startup focus on people and scale  | How to build effective HR and People Operations budget | Is End-of-Year a Good Time for Pay Raises and Bonuses?
secondmeasure.com,Second Measure,yc,USA,fintech,B2B,62.0,90,5,5,4,3,en,54,Why Stitch Fix isn’t like Blue Apron (and how it stacks up i | From Avis to Zipcar: what’s driving change in how we get aro | Online daters chase love at first sight with Tinder and Bumb
duffel.com,Duffel,yc,USA,devtools,Consumer,55.0,87,5,5,3,3,en,52,Opening up to Open Source: Duffel Blog | Give your customers the best flight booking experience with  | What is Impostor Syndrome - Duffel Blog
devcycle.com,DevCycle,yc,USA,saas,B2B,55.0,86,5,5,3,3,en,52,Why Use Nest.js | How Edge Flags Will Change the Face of Feature Management | What Are Feature Flags In DevOps
breadcrumbs.io,Breadcrumbs.io,yc,USA,saas,B2B,20.0,84,5,5,5,5,en,84,How to Use Your Lead Generation Process to Create Better Buy | Chief Revenue Officer (CRO): 3 Reasons You Should Hire One | 5 Simple B2B Customer Retention Strategies (And How to Get S
gimbooks.com,GimBooks,yc,USA,fintech,B2B,16.0,83,5,5,4,2,en,33,6 Benefits Of Using Cloud Accounting In Your Business | Frequently asked questions on E-invoice | How to get a first time business loan
alinea-invest.com,Alinea,yc,USA,fintech,Fintech,12.0,82,5,5,5,4,en,66,The Paradox of Investing | What Is Compounding in Stocks? How Compound Interest Works?  | Which ETF Does Warren Buffett Recommend: Our Breakdown- Alin
joinfightcamp.com,FightCamp,yc,USA,ecommerce,Consumer,64.0,81,5,5,3,3,en,49,FightCamp Success: Working and Working Out From Home | FightCamp Trainer Spotlight: Shanie “Smash” Rusth | Step-By-Step: How To Fill Your Heavy Bag Base
datree.io,Datree,yc,USA,devtools,B2B,16.0,78,5,5,3,3,en,47,Enforce Pull Request descriptions with Datree | How to use git push force the right way | Git undo merge [a Git commands tutorial]
zeorouteplanner.com,Zeo Route Planner,yc,USA,saas,B2B,15.0,75,5,5,4,3,en,45,How to plan a route for multiple destinations in Google Maps | Zeo Route Planner App Review on Free Apps Forme | Zeo Route  | How can routing software help you match with the e-commerce 
lofty.ai,Lofty,yc,USA,fintech,Fintech,7.0,75,5,5,2,2,en,30,Buy Tokenized Real Estate | Lofty AI Investing App | Buy Tokenized Real Estate | Lofty AI Investing App | Real estate investing 101: Tips for Beginners
trycelery.com,Celery,yc,USA,ecommerce,B2B,11.0,73,5,5,4,4,en,58,Step-by-Step Guide to Marketing Your Crowdfund. Part 1: Opti | Convergence: What happens when virtual realities take over? | 6 Supreme Lessons 'The Coolest' Cooler Can Teach You
cognitohq.com,Cognito,yc,USA,fintech,B2B,12.0,72,5,5,4,3,en,43,Age Verification Without Friction | Cognito | 6 Best Practices for ID Verification | Cognito | Thinking of Using Social Data? | Cognito
clustrix.com,Clustrix,yc,USA,devtools,B2B,51.0,72,5,5,4,3,en,43,What It Means To Be An Appliance | Sharding: In Theory and Practice (Part Two) | Clustrix named a Top 20 Enterprise Software Vendor by Silico
alphaflow.com,AlphaFlow,yc,USA,fintech,Fintech,26.0,71,5,5,4,4,en,57,Top 7 Real Estate Crowdfunding Sites for Investors Ebook | How Defaults Work | Are Fintech Firms Becoming More Like Banks?
padmapper.com,PadMapper,yc,USA,ecommerce,Real Estate and Construction,2.0,69,5,5,2,2,en,28,5 Things to Watch Out For When Searching for an Apartment on | More Cities get Yelp Listings | San Francisco Crime Map/Overlay
kopa.co,Kopa,yc,USA,ecommerce,Real Estate and Construction,6.0,67,5,5,5,5,en,67,15 Things to Know Before Moving to Houston | A Guide to the Neighborhoods of San Francisco | A Guide to the Neighborhoods of Seattle
tydo.com,Tydo,yc,USA,fintech,B2B,14.0,66,5,5,3,3,en,40,The TikTok Keys to Success with JT Barnett | Instilling Wonder into the Post-Purchase Experience with Won | Tydo Launches New Platform
snapdocs.com,Snapdocs,yc,USA,saas,Real Estate and Construction,285.0,65,5,5,4,4,en,52,Where Should Lenders Begin With Digital Closings? – Snapdocs | How to Measure Your Success With eClosings | Snapdocs | Why Digital Closings Are the Default at Waterstone Mortgage 
popl.co,Popl,yc,USA,saas,B2B,60.0,65,5,5,3,3,en,39,A Guide to Digital Business Cards in 2022 | Popl Vs Traditional Business Cards | Digital Vs Paper - Popl | 2022 Networking Events for Entrepreneurs and Startups
inspectify.com,Inspectify,yc,USA,ecommerce,Real Estate and Construction,75.0,65,5,5,5,5,en,65,What is a maintenance inspection and when should you get one | What is the due diligence period? | 6 reasons why you should never skip a home inspection
convox.com,Convox,yc,USA,devtools,B2B,3.0,65,5,5,4,3,en,39,Massive Build Improvements | Image Workflows | The Challenges of EFS
eduflow.com,Eduflow,yc,USA,other,Education,12.0,64,5,5,2,2,en,26,New activity & flow: Instructor review · Eduflow blog | How Animalz Built Stronger Team Connections During Onboardin | How COVID-19 will change online learning forever · Eduflow b
brainboard.co,Brainboard,yc,USA,devtools,B2B,9.0,64,5,5,4,2,en,26,End to end cloud management & governance platform. | End to end cloud management & governance platform. | End to end cloud management & governance platform.
nextcaller.com,Next Caller,yc,USA,saas,B2B,20.0,61,5,5,3,3,en,37,Next Caller announces partnership with Oracle... - Next Call | 15 for 2015 – Customer Service Trends - Next Caller Blog | Curious to see how Next Caller works in the... - Next Caller
scispot.io,Scispot,yc,USA,saas,B2B,16.0,60,5,5,5,2,en,24,Talk is Biotech! with Guru Singh and Mike Tarselli | How to make your biotech startup a tech company? | Top 5 Zebrafish CROs in the World
natero.com,Natero,yc,USA,saas,B2B,11.0,59,5,5,3,3,en,35,Better Dashboards for Customer Success Teams | Designing Customer Health Scores | Why Net Promoter Score (NPS) Matters for Customer Success
upequity.com,UpEquity,yc,USA,fintech,Real Estate and Construction,90.0,58,5,5,4,3,en,35,"How is Bonus, Overtime, and Commission Income Calculated by  | UpEquity Named BuiltIn Austin's Startups to Watch in 2022 | 3 Ways To Pick The Perfect Neighborhood"
storylane.io,Storylane,yc,USA,saas,B2B,55.0,57,2,2,2,2,en,57,How to Reduce the B2b Saas Sales Process Timeline? | Shadow Calling to Improve Sales Performance
naborly.com,Naborly,yc,USA,fintech,Real Estate and Construction,25.0,55,5,5,5,4,en,44,How to perform a move-out inspection - Naborly Inc. | 5 Tips For Moving Across Country | Rental Affordability Index & the Election
castle.io,Castle,yc,USA,devtools,B2B,20.0,54,5,5,2,2,en,22,Why Online Services with Good Security Are More Profitable | How to Think About GDPR as a Security Vendor | In Defense of Reddit - Compromised two-factor authentication
getmeadow.com,Meadow,yc,USA,ecommerce,B2B,14.0,53,5,5,4,3,en,32,"How to Roll a Joint: A Step by Step Guide ◆ Meadow Blog | The Cannabis 411: A Brief History of Cannabis Criminalizatio | Serving Cannabis: Q&A with Old Pal CEO, Rusty Wilenkin ◆ Mea"
adyn.com,adyn,yc,USA,ecommerce,Healthcare,7.0,51,5,5,4,4,en,41,"How effective is Plan B? And other questions about emergency | The 11 Biggest STD Myths, Debunked | adyn | Why I created adyn | adyn"
nextravel.com,NexTravel,yc,USA,saas,B2B,17.0,51,5,5,4,3,en,31,Blog - Introducing NexTravel Hire | Why Your Company Should Use Corporate Travel Management Tool | What COVID-19 Travel Looks Like
dearbrightly.com,Dear Brightly,yc,USA,ecommerce,Healthcare,3.0,51,5,5,4,4,en,41,Here's How to Get Rid of Milia Effectively (Don't Pick Them) | What is Collagen and How to Rebuild It in the Face - Dear Br | I Can't See A Difference. How Can I Be Assured That The Tret
convex.com,Convex,yc,USA,saas,B2B,110.0,50,5,5,4,4,en,40,"How Sales Teams Use Atlas for Effective Prospecting | Convex | Meet Neha Budhraja, Customer Success Manager | Convex | This Sales Pipeline Calculator Simplifies Cold Calling (Free"
worklytics.co,Worklytics,yc,USA,saas,B2B,,49,5,5,3,3,en,29,"Building great engineering teams., Worklytics | Taking Network Analysis Beyond Email | Measure How Your Organization is Adapting to WFH"
archbee.com,Archbee,yc,USA,devtools,B2B,12.0,49,5,5,5,5,en,49,Software Testing Documentation: What Is It and Why Should Yo | 10 Best Certifications in Technical Writing for Technical Wr | Guide to API Documentation
enterneverland.com,Neverland,yc,USA,ecommerce,Consumer,2.0,48,5,5,5,5,en,48,How to Choose and Use a Tomato Cage | Neverland Blog | How to Grow and Care For Philodendron Micans | Neverland Blo | How To Achieve Proper Chinese Elm Bonsai Care | Neverland Bl
beacons.ai,Beacons,yc,USA,ecommerce,Consumer,35.0,48,5,5,3,3,en,29,How to add links to Instagram Stories & get more clicks | Be | The Best Time to Post on TikTok Every Day of the Week | Beac | The Smart Link ⚡
catch.co,Catch,yc,USA,fintech,Fintech,18.0,46,5,5,3,3,en,28,Health Insurance: Metallic Plans and Cost Savings | Catch | 3 Health Insurance Excuses Answered - Why To Stay Insured |  | 2020 Recap: Taxes
letterdrop.com,Letterdrop,yc,USA,saas,B2B,10.0,45,5,5,4,4,en,36,A Guide to Identifying Your Content Marketing Goals | So you want to run a paid newsletter? | Top 8 Blog Post Templates to Fuel Your Writing Process | A G
usefriz.com,Friz,yc,USA,devtools,Consumer,4.0,44,5,5,5,3,en,26,Top 10 Best Accounting Software Tools For Freelancers To Man | Top networking tips for freelancers - Friz | Freelancing fabric in southeast Asia - Friz
re2.ai,Resquared,yc,USA,saas,B2B,40.0,44,5,5,4,2,en,18,More than 80% Of Holiday Shoppers Surveyed Say They Would li | It’s Never Been More Important to Have Multiple Sales Touchp | Filling Troubled Properties 101
chatwoot.com,Chatwoot,yc,USA,devtools,B2B,12.0,42,5,5,5,5,en,42,30 customer service tips you can adopt right now | Chatwoot | Will customer service be replaced by robots? | 6 key factors that affect customer satisfaction the most
whalesync.com,Whalesync,yc,USA,saas,B2B,8.0,41,5,5,4,2,en,16,Web3 & No-Code | 8 E-Commerce Email Marketing Best Practices To Boost Your RO | 10 Airtable Competitors for Your Use Case (2022)
accept.inc,Accept.inc (formerly BoardRE),yc,USA,fintech,Fintech,80.0,40,3,3,3,3,en,40,Buying a House Cash vs Mortgage - What's Better? | How to Buy a Home - Step Two: Find Your Financing | How to Find the Best Mortgage Lender in Denver | Accept.inc
zbiotics.com,ZBiotics,yc,USA,ecommerce,Healthcare,22.0,39,5,5,3,3,en,23,What's Wrong with Probiotics? Part 1 | Does alcohol really cause dehydration? | 7 Tips to Feel Better After Drinking Alcohol
honeylove.com,Honeylove,yc,USA,ecommerce,Consumer,100.0,39,5,5,2,2,en,16,Getting Real About Miscarriage | End of year check-in | Reclaiming Valentine's Day
oneschema.co,OneSchema,yc,USA,saas,B2B,20.0,38,5,5,3,3,en,23,How to Reduce Customer Churn with Better Customer Onboarding | Flatfile Competitors: The 4 Best Alternatives | What's New in OneSchema July 2022
moonshotbrands.com,Moonshot Brands,yc,USA,fintech,Fintech,35.0,38,5,5,5,5,en,38,How To Sell An FBA Business | Moonshot Brands | Business Transfer Checklist | Moonshot Brands | The Complete Guide to Understanding Consumer Psychology | Mo
gogenuity.com,Genuity,yc,USA,saas,B2B,31.0,37,5,5,3,3,en,22,Technology Management in Uncertain Times | Genuity | Genuity Named High Performer and Best Support in G2 Summer R | Welcome Genuity's New Head of Advanced Cybersecurity Solutio
validere.com,Validere,yc,USA,other,Industrials,110.0,36,5,5,2,2,en,14,Clean data. Clear direction. A new chapter for Validere. | Data Is Now Available for the Market to Incentivize the Low  | TRP Energy selects Validere as emissions measurement and rec
jenfi.com,Jenfi,yc,USA,fintech,Fintech,18.0,36,5,5,5,3,en,22,How To Obtain A Small Business Loan Through PayPal | Skyrocket Sales by Optimizing Your Facebook Target Audience | 3 Ways to Advertise Without Spending Any Money
stownest.com,Stownest,yc,USA,ecommerce,Consumer,80.0,33,5,5,4,4,en,26,Where and How to Store Your Stuff during Rennovation | Questions to Ask About Self-Storage Before Renting | How I Saved 90% of My House Rent During Lockdown!
warmly.ai,"Warmly,",yc,USA,saas,B2B,60.0,33,5,5,3,3,en,20,"Week 8 in Y-Combinator: Why 376 people help Warmly regularly | 🗒 Warmth at Work Episode 3: CIENCE | Back to back meetings? No worries, #Warmly has you covered!"
metaplane.dev,Metaplane,yc,USA,devtools,B2B,32.0,31,5,5,4,4,en,25,"How to Evaluate Data Observability Tools | Proxy and Practicality | What Data Observability Is, What It’s Not, and Why it Matter"
instapainting.com,Instapainting,yc,USA,ecommerce,Consumer,2.0,30,5,5,2,2,en,12,Art Everywhere Initiative | How To Showcase Your Pet With The Perfect Pet Portrait Paint | Inside the Lives of Chinese Art Factory Workers
yourmechanic.com,YourMechanic,yc,USA,ecommerce,Consumer,115.0,29,5,5,2,2,en,12,YourMechanic's Interview Process For the Engineering Team | Meet the Team: Ken Eng | I Have No Idea What's Wrong With My Car - Where Do I Begin?
controlhub.com,ControlHub,yc,USA,fintech,B2B,22.0,29,5,5,4,4,en,23,General Ledger Account Reconciliation Example | Procurement vs. Purchasing… what’s the difference? | Month End Reconciliation: What You Need to Know
doppler.com,Doppler,yc,USA,devtools,B2B,25.0,28,5,5,3,2,en,11,Doppler vs. HashiCorp Vault | We Were Vulnerable | Doppler: Tutorials
getlago.com,Lago,yc,USA,fintech,B2B,45.0,26,4,4,3,3,en,20,"Pricing, my only growth hack at Qonto | Lago Blog - We crunched the fees of Stripe's 21 products | Lago Blog - Generating PDF invoices using Lago"
windsor.io,Windsor,yc,USA,saas,B2B,5.0,26,5,5,5,5,en,26,How Video Can Accelerate your eCommerce Growth | 3 ways to upgrade your email marketing using AI-powered vide | How Dover uses personalized email flows to streamline recrui
boalogistics.com,BOA Logistics,inc.com_api_i5list,us,services_other,Logistics & Transportation,,398,5,5,4,2,en,159,Essays - Tips On Writing One - BOA Logistics | Immediate Relationship Definition - Am I Married? - BOA Logi | 5 various Advantages of Marrying a Foreign National - BOA Lo
lendingworks.co.uk,Lending Works,ft1000_wayback:20210331132419,uk,fintech_insurance,Fintech,,353,5,5,4,4,en,282,Are personal loans better than secured loans? | Lending Work | Is the state pension model the solution to social care? | The dangers facing the current financial system | Lending Wo
highkey.com,HighKey,inc.com_api_i5list,us,ecommerce_retail,Food & Beverage,,338,5,5,4,3,en,203,Keto Rib-Eye With Cauliflower Recipe | Mediterranean Roll Ups 🤤 | Low-Carb Baking Essentials: Ingredients and Substitutes
medcerts.com,MedCerts,inc.com_api_i5list,us,edtech,Education,,332,5,5,4,4,en,266,How Can MyCAA Help You Start a Career? | How to Choose a High Vacancy Job With Your MyCAA Grant | Feeling Stuck? 5 Inspiring Unemployment Training Benefits
orchard.com,Orchard Homes,inc.com_api_i5list,us,services_other,Real Estate,,331,5,5,4,4,en,265,What to Look for During Your Final Home Walkthrough | Closing with Orchard | Orchard | How to Qualify for a Mortgage Before Selling Your Old Home
somatechnology.com,Soma Tech Intl,inc.com_api_i5list,us,health,Health Products,,322,5,5,4,3,en,193,Different OEC 9900 Elite Configurations | The Clinical Importance of Bladder Scanners in Urinary Reten | Alaris PC Unit 8015 Featuring Exceptional Versatility
accountingseed.com,Accounting Seed,inc.com_api_i5list,us,software_saas,Software,,312,4,4,3,3,en,234,The Power of White Noise - Accounting Seed | Top 3 Accounting Careers for New Accountants - Accounting Se | Linked Reports - Accounting Seed
